ACT Symbol,Company Name
PBR.A,Petroleo Brasileiro S.A.
PBT,Permian Basin Royalty Trust Common Stock
PBY,Pep Boys
PBYI,Puma Biotechnology Inc Common Stock
PCF,Putnam High Income Securities Fund Common Stock
PCG,Pacific Gas & Electric Co. Common Stock
PCI,PIMCO Dynamic Credit Income Fund Common Shares of Beneficial Interest
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest
PCL,"Plum Creek Timber Company, Inc. Common Stock"
PCM,"PCM Fund, Inc. Common Stock"
PCN,Pimco Corporate & Income Strategy Fund Common Stock
PCP,Precision Castparts Corporation Common Stock
PCQ,PIMCO California Municipal Income Fund Common Stock
PDI,PIMCO Dynamic Income Fund Common Stock
PDM,"Piedmont Office Realty Trust, Inc. Class A Common Stock"
PDS,Precision Drilling Corporation Common Stock
PDT,John Hancock Premium Dividend Fund
PE,"Parsley Energy, Inc. Class A Common Stock"
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest
PEG,Public Service Enterprise Group Incorporated Common Stock
PEI,Pennsylvania Real Estate Investment Trust Common Stock
PEO,Petroleum Resources Corporation Common Stock
PEP,"Pepsico, Inc. Common Stock"
PER,SandRidge Permian Trust Common Units of Benficial Interest
PES,Pioneer Energy Services Corp. Common Stk
PF,"Pinnacle Foods, Inc. Common Stock"
PFD,Flaherty & Crumrine Preferred Income Fund Incorporated Common Stock
PFE,"Pfizer, Inc. Common Stock"
PFG,Principal Financial Group Inc Common Stock
PFH,Cabco Tr Jcp 7.625 Common Stock
PFK,Prudential Financial Inflation
PFL,PIMCO Income Strategy Fund Shares of Beneficial Interest
PFN,PIMCO Income Strategy Fund II
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated Common Stock
PFS,"Provident Financial Services, Inc Common Stock"
PFSI,"PennyMac Financial Services, Inc. Class A Common Stock"
PFX,"Phoenix Companies, Inc. Phoenix Companies Inc 7.45% Pfd"
PG,Procter & Gamble Company (The) Common Stock
PGEM,"Ply Gem Holdings, Inc. Common Stock"
PGH,Pengrowth Energy Corporation
PGI,"Premiere Global Services, Inc."
PGN,Paragon Offshore plc Ordinary Shares
PGP,Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest
PGR,Progressive Corporation (The) Common Stock
PGRE,"Paramount Group, Inc. Common Stock"
PGZ,Principal Real Estate Income Fund Common Shares of Beneficial Interest
PH,Parker
PHD,Pioneer Floating Rate Trust Pioneer Floating Rate Trust Shares of Beneficial Interest
PHG,Koninklijke Philips N.V. NY Registry Shares
PHH,PHH Corp Common Stock
PHI,Philippine Long Distance Telephone Company Sponsored ADR
PHK,Pimco High Income Fund Pimco High Income Fund
PHM,"PulteGroup, Inc. Common Stock"
PHT,Pioneer High Income Trust Common Shares of Beneficial Interest
PHX,Panhandle Oil and Gas Inc Common Stock
PII,Polaris Industries Inc. Common Stock
PIM,Putnam Master Intermediate Income Trust Common Stock
PIR,"Pier 1 Imports, Inc. Common Stock"
PIY,Preferred Plus Trust (Ser CZN) Preferred Plus Trust Ser CZN
PJC,Piper Jaffray Companies Common Stock
PJH,"Prudential Financial, Inc. 5.75% Junior Subordinated Notes due 2052"
PJS,PreferredPlus Trust Ser FAR 1 Tr Ctf
PKD,Parker Drilling Company Common Stock
PKE,Park Electrochemical Corporation Common Stock
PKG,Packaging Corporation of America Common Stock
PKI,"PerkinElmer, Inc. Common Stock"
PKO,Pimco Income Opportunity Fund Common Shares of Beneficial Interest
PKX,POSCO Common Stock
PKY,"Parkway Properties, Inc. Common Stock"
PL,Protective Life Corporation Common Stock
PLD,"ProLogis, Inc. Common Stock"
PLL,Pall Corporation Common Stock
PLOW,"Douglas Dynamics, Inc. Common Stock"
PLT,"Plantronics, Inc. Common Stock"
PM,Philip Morris International Inc Common Stock
PMC,Pharmerica Corporation Common Stock
PMF,PIMCO Municipal Income Fund Common Stock
PML,Pimco Municipal Income Fund II Common Shares of Beneficial Interest
PMM,Putnam Managed Municipal Income Trust Common Stock
PMO,Putnam Municipal Opportunities Trust Common Stock
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest
PMX,PIMCO Municipal Income Fund III Common Shares of Beneficial Interest
PNC,"PNC Financial Services Group, Inc. (The) Common Stock"
PNC.W,"PNC Financial Services Group, Inc. Warrant expiring December 31, 2018"
PNF,PIMCO New York Municipal Income Fund Common Stock
PNI,Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest
PNK,"Pinnacle Entertainment, Inc. Common Stock"
PNM,"PNM Resources, Inc. (Holding Co.) Common Stock"
PNR,Pentair plc. Ordinary Share
PNTA,PennantPark Investment Corporation 6.25% Senior Notes due 2025
PNW,Pinnacle West Capital Corporation Common Stock
PNX,"Phoenix Companies, Inc. (The) Common Stock"
PNY,"Piedmont Natural Gas Company, Inc. Common Stock"
POL,PolyOne Corporation Common Stock
POM,"PEPCO Holdings, Inc Common Stock"
POR,Portland General Electric Co Common Stock
POST,"Post Holdings, Inc. Common Stock"
POT,Potash Corporation of Saskatchewan Inc. Common Stock
POWR,"PowerSecure International, Inc. Common Stock"
PPG,"PPG Industries, Inc. Common Stock"
PPL,PP&L Corporation Common Stock
PPO,Polypore International Inc Common Stock
PPP,Primero Mining Corp.  New Common Shares (Canada)
PPR,Voya Prime Rate Trust Shares of Beneficial Interest
PPS,"Post Properties, Inc. Common Stock"
PPT,Putnam Premier Income Trust Common Stock
PPX,"PPL Capital Funding, Inc. 2013 Series B Junior Subordinated Notes due 2073"
PQ,Petroquest Energy Inc Common Stock
PRA,ProAssurance Corporation Common Stock
PRE,PartnerRe Ltd. Common Stock
PRGO,Perrigo Company plc Ordinary Shares
PRH,"Prudential Financial, Inc. 5.70% Junior Subordinated Notes due 2053"
PRI,"Primerica, Inc. Common Stock"
PRLB,"Proto Labs, Inc. Common stock"
PRO,"PROS Holdings, Inc. Common Stock"
PRU,"Prudential Financial, Inc. Common Stock"
PRY,Prospect Capital Corporation 6.95% Senior Notes due 2022
PSA,Public Storage Common Stock
PSB,"PS Business Parks, Inc. Common Stock"
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock"
PSG,Performance Sports Group Ltd. Ordinary Shares (Canada)
PSO,"Pearson, Plc Common Stock"
PSX,Phillips 66 Common Stock
PSXP,Phillips 66 Partners LP Common Units representing limited partner interest in the Partnership
PT,"Portugal Telecom SGPS, S.A . Common Stock"
PTP,"Platinum Underwriters Holdings, Ltd"
PTR,PetroChina Company Limited Common Stock
PTY,Pimco Corporate & Income Opportunity Fund
PUK,Prudential Public Limited Company Common Stock
PVA,Penn Virginia Corporation Common Stock
PVG,"Pretium Resources, Inc. Ordinary Shares (Canada)"
PVH,PVH Corp. Common Stock
PVTD,"PrivateBancorp, Inc. 7.125% Subordinated Debentures due 2042"
PWE,Penn West Petroleum Ltd
PWR,"Quanta Services, Inc. Common Stock"
PX,"Praxair, Inc. Common Stock"
PXD,Pioneer Natural Resources Company Common Stock
PYB,PPlus Trust Series GSG
PYN,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest
PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD
PYT,PPlus Tr GSC
PZB,"Merrill Lynch Depositor, Inc. Merrill Lynch Depositor, Inc. PPLUS Class A 6.7% Callable Trust Certificates, Series LTD"
PZC,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest
PZE,Petrobras Argentina S.A. ADS
PZN,Pzena Investment Management Inc Class A Common Stock
Q,Quintiles Transnational Holdings Inc. Common Stock
QEP,"QEP Resources, Inc. Common Stock"
QEPM,"QEP Midstream Partners, LP Common Units representing Limited Partner Interests"
QIHU,"Qihoo 360 Technology Co. Ltd. American Depositary Shares, every 2 of which representing three Class A Ordinary Shares"
