Ticker,Company Name,Market Cap,Website
A,"Agilent Technologies, Inc. Common Stock",46915854336,https://www.agilent.com
AA,Alcoa Inc. Common Stock,8583213056,https://www.alcoa.com
AAC,"AAC Holdings, Inc. Common Stock",1250000000,https://www.aresacquisitioncorporation.com
AAN,"Aaron's, Inc. Common Stock",373075936,https://www.aarons.com
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,8920644608,https://www.advanceautoparts.com
AAT,"American Assets Trust, Inc. Common Stock",2141734656,https://www.americanassetstrust.com
AAV,Advantage Oil & Gas Ltd  Ordinary Shares,,
AB,Allianceberstein Holding L.P.  Units,4042005248,https://www.alliancebernstein.com
ABB,ABB Ltd Common Stock,62659919872,https://global.abb/group/en
ABBV,AbbVie Inc. Common Stock,281782386688,https://www.abbvie.com
ABC,AmerisourceBergen Corporation (Holding Co) Common Stock,34452254720,https://www.amerisourcebergen.com
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),45955837952,https://www.ambev.com.br
ABG,Asbury Automotive Group Inc Common Stock,4208383744,https://www.asburyauto.com
ABM,ABM Industries Incorporated Common Stock,3049505280,https://www.abm.com
ABR,Arbor Realty Trust Common Stock,2173306624,https://arbor.com
ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021,,
ABT,Abbott Laboratories Common Stock,187474100224,https://www.abbott.com
ABX,Barrick Gold Corporation Common Stock,,
ACC,American Campus Communities Inc Common Stock,,
ACCO,Acco Brands Corporation Common Stock,524605312,https://www.accobrands.com
ACE,Ace Limited Common Stock,,
ACG,Alliancebernstein Income Fund,,
ACH,Aluminum Corporation of China Limited American Depositary Shares,,
ACI,"Arch Coal, Inc. Common Stock",9548035072,https://www.albertsonscompanies.com
ACM,AECOM Common Stock,11929325568,https://www.aecom.com
ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests",,
ACN,Accenture plc. Class A Ordinary Shares (Ireland),186292879360,https://www.accenture.com
ACP,Avenue Income Credit Strategies Fund Common Shares,117523352,https://www.aberdeenacp.com/
ACRE,Ares Commercial Real Estate Corporation Common Stock,581882304,https://www.arescre.com
ACT,Actavis plc Ordinary Shares,4010749184,https://www.enactmi.com
ACW,Accuride Corporation Common Stock,,
ADC,Agree Realty Corporation Common Stock,5012068864,https://www.agreerealty.com
ADM,Archer,54142701568,https://www.adm.com
ADPT,Adeptus Health Inc. Common Stock,1171395584,https://www.adaptivebiotech.com
ADS,Alliance Data Systems Corporation Common Stock,,
ADT,ADT Corporation Common Stock,7481438720,https://www.adt.com
ADX,Adams Express Company (The),1698713088,https://www.adamsfunds.com/funds/diversified-equity
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),51125440512,
AEC,Associated Estates Realty Corporation Common Stock,,
AED,AEGON N.V. Perp. Cap. Securities (Netherlands),52167983104,
